Group,Type,Sentence,Question,Answer
A_control_list1,filler62,The teenagers swore to be best friends forever.,Did the teenagers think that they were going to continue being good friends?,"Yes
"
A_control_list1,filler38,The contestants each ate over ten hot dogs as part of a speed-eating competition.,Were over ten hot dogs eaten?,"Yes
"
A_control_list1,filler11,The hiker was overcome by the heat and needed to rest for a few minutes.,Did the hiker need a break?,"Yes
"
A_control_list1,filler51,"Judy sank into the luxurious seat, enjoying the smell of leather.",Was the seat made of leather? ,"Yes
"
A_control_list1,filler46,The talented lawyer argued that his client had never been to the scene of the crime.,Was the lawyer talented?,"Yes
"
A_control_list1,filler20,The hungry dog ate all of the food in the bowl.,Was there any food left in the bowl?,"No
"
A_control_list1,filler32,The friends studied together all day for an upcoming exam in their hardest class.,Did the friends study independently?,"No
"
A_control_list1,filler8,The girl apologized to her parents for having stayed out past curfew.,Was the girl caught staying out late?,"Yes
"
A_control_list1,filler47,The energetic cat batted at the dust specks floating in the air.,Was the cat lazy?,"No
"
A_control_list1,filler30,The gardener mowed the wide lawns and seeded them.,Were the lawns large?,"Yes
"
A_control_list1,filler33,When the driver eventually overtook the last truck he pulled over to the inside lane.,Did the driver overtake all the trucks?,"Yes
"
A_control_list1,filler12,The spy came very quietly and secretly to escape the soldiers.,Did the spy make a lot of noise?,"No
"
A_control_list1,filler44,The knight from the storybook slew a dragon to get into the castle.,Did the knight kill the dragon?,"Yes
"
A_control_list1,filler4,John became more frustrated with each passing minute.,Did John get less frustrated over time?,"No
"
A_control_list1,filler61,The students eagerly participated in the annual athletics festival.,Did the students want to participate?,"Yes
"
A_control_list1,filler63,The fish swam all around Jane and nipped at her legs.,Did the fish avoid Jane?,"No
"
A_control_list1,filler29,The singer practiced all day until she could hit the high notes every time.,Was the singer able to hit the high notes without practicing?,"No
"
A_control_list1,filler25,The new manager undid most of the good work of his predecessor.,Did the previous manager do good work?,"Yes
"
A_control_list1,filler49,The strict instructor confiscated the students' cell phones before class.,Was the instructor lenient?,"No
"
A_control_list1,filler37,The basketball player's ankle swelled as he limped off the court.,Was the player injured?,"Yes
"
A_control_list1,filler18,They drew lots to settle who should make dinner that day.,Did they draw lots to decide who should make lunch?,"No
"
A_control_list1,filler34,The woman eagerly waited to hear back from the dance company.,Was the woman looking forward to hearing some news?,"Yes
"
A_control_list1,filler23,"Even though Joanna flew directly to Boston on Friday, she still missed the conference.",Was Joanna able to attend the conference?,"No
"
A_control_list1,filler27,Anita lay on the grass and looked up at the stars.,Was Anita outside? ,"Yes
"
A_control_list1,filler31,The babysitter ran frantically after the misbehaving children in the park.,Were the children well behaved?,"No
"
A_control_list1,filler45,The impatient brother immediately took the toy away from his younger sister.,Did the brother like to share?,"No
"
A_control_list1,filler26,Maria went upstairs and changed into jeans and a fitted blouse.,Did Maria change into a dress?,"No
"
A_control_list1,filler1,The new student talked to all of her new classmates on the playground during recess.,Were there some classmates the new student did not talk to?,"No
"
A_control_list1,filler64,Lily trod on a lot of toes when she joined the company.,Did Lily upset people when she joined the company?,Yes
A_control_list1,filler57,The secret society framed a local man for all of their crimes.,Was the man guilty?,"No
"
A_control_list1,filler16,Peter did all the dishes before putting his children to bed.,Did Peter do the dishes after putting the children bed?,"No
"
A_control_list1,filler3,A different kind of fire arose within Andrew as he thought about the new idea.,Was Andrew passionate about the idea?,"Yes
"
A_control_list1,filler22,The sparkles on the celebrity's dress glittered under the harsh lighting.,Did the outfit have sparkles on it? ,"Yes
"
A_control_list1,URC5,The frazzled mother who was cut a cake slice sat down and ate it gratefully.,Was the mother exhausted?,"Yes
"
A_control_list1,URC34,The energetic kid who was kicked the ball caught it with one hand.,Was the kid lethargic?,"No
"
A_control_list1,filler42,The seated boy rose up to answer the teacher's question on the chalkboard.,Did the boy get out of his seat?,"Yes
"
A_control_list1,filler53,The family cheerfully decorated the house just in time for the holidays.,Did the family enjoy decorating the house?,"Yes
"
